decision_half,trade_date,prior_trade_date,prior_amount_total,prior_amount_median,prior_amount_bottom3_sum
2024H1,20230703,20230630,5069443235.0,217778628.5,259928122.0
2024H1,20230704,20230703,2662689072.0,194817728.0,281217189.0
2024H1,20230705,20230704,3292615981.0,304203291.0,265711770.0
2024H1,20230706,20230705,18030323777.0,832998589.0,1203397229.0
2024H1,20230710,20230707,2725741197.0,161323031.5,73451248.0
2024H1,20230711,20230710,4495251620.0,192184744.0,224565304.0
2024H1,20230712,20230711,5897249984.0,493057040.0,605087811.0
2024H1,20230713,20230712,4574486779.0,277900842.5,183531495.0
2024H1,20230714,20230713,4048144899.0,296968061.0,292761610.0
2024H1,20230718,20230717,5713377052.0,230161534.0,300139345.0
2024H1,20230719,20230718,6750484453.0,403458127.5,390026393.0
2024H1,20230720,20230719,2355808729.0,177723233.0,273355295.0
2024H1,20230721,20230720,2142700042.0,184003270.5,198824297.0
2024H1,20230724,20230721,10112157527.0,424117492.5,353991166.0
2024H1,20230725,20230724,4852304076.0,265010299.0,240519424.0
2024H1,20230726,20230725,2300701742.0,182276981.5,235124697.0
2024H1,20230727,20230726,2959336549.0,188331050.5,162944658.0
2024H1,20230731,20230728,13888939363.0,559180283.0,398652931.0
2024H1,20230802,20230801,3196888778.0,157233263.0,202728335.0
2024H1,20230803,20230802,2219820937.0,164168388.5,252152384.0
2024H1,20230804,20230803,6732885089.0,108820469.0,153927210.0
2024H1,20230809,20230808,7620527938.0,364919270.0,369416197.0
2024H1,20230811,20230810,2511611019.0,160896479.5,141199932.0
2024H1,20230821,20230818,4180450039.0,302482739.0,441705109.0
2024H1,20230825,20230824,13135179964.0,1332868391.5,291375545.0
2024H1,20230829,20230828,3073568337.0,236632532.0,233634646.0
2024H1,20230830,20230829,5883555872.0,596311076.0,689149884.0
2024H1,20230901,20230831,1194564163.0,39521702.0,54785065.0
2024H1,20230904,20230901,2272202364.0,153304941.5,102007860.0
2024H1,20230905,20230904,4600892965.0,108137368.0,116033120.0
2024H1,20230906,20230905,3273099495.0,110370486.5,65618399.0
2024H1,20230907,20230906,3131361066.0,229796305.5,213599519.0
2024H1,20230908,20230907,1568785616.0,120812814.0,204344384.0
2024H1,20230911,20230908,1353051891.0,68666650.5,105745748.0
2024H1,20230912,20230911,5368421047.0,212688128.5,86723877.0
2024H1,20230913,20230912,2294069337.0,226554116.0,218271840.0
2024H1,20230918,20230915,5378569713.0,197783515.0,379412163.0
2024H1,20230919,20230918,1026059041.0,92734046.5,94632272.0
2024H1,20230920,20230919,6463796934.0,250250940.0,300461443.0
2024H1,20230921,20230920,5110107042.0,328398274.0,240129222.0
2024H1,20230925,20230922,5781560236.0,221684292.0,257054308.0
2024H1,20230927,20230926,3539855874.0,121103247.5,177377007.0
2024H1,20230928,20230927,6432088955.0,232166483.5,137109676.0
2024H1,20231010,20231009,1680050361.0,108891697.0,167284356.0
2024H1,20231011,20231010,7900726578.0,178871340.5,190212215.0
2024H1,20231012,20231011,1057163028.0,79261618.0,94275464.0
2024H1,20231013,20231012,3241316117.0,248837876.5,242553556.0
2024H1,20231016,20231013,4536004052.0,113021185.0,186869104.0
2024H1,20231017,20231016,5330449028.0,354595257.5,409003741.0
2024H1,20231019,20231018,6062739419.0,197540572.5,177957020.0
2024H1,20231020,20231019,3323113558.0,136003220.5,70169647.0
2024H1,20231023,20231020,5828820068.0,194638077.0,248013191.0
2024H1,20231024,20231023,3925133088.0,231299580.0,62352485.0
2024H1,20231025,20231024,4040314492.0,278324533.5,211616735.0
2024H1,20231027,20231026,1216232822.0,109206932.5,54621605.0
2024H1,20231030,20231027,9163287613.0,359608700.5,222008345.0
2024H1,20231031,20231030,5758573757.0,584896029.0,674823583.0
2024H1,20231101,20231031,8340902964.0,781219831.5,101404762.0
2024H1,20231102,20231101,2838858737.0,186418274.5,96011296.0
2024H1,20231103,20231102,4541263546.0,217760572.0,142815796.0
2024H1,20231106,20231103,7447094371.0,638718463.0,384721404.0
2024H1,20231107,20231106,11544445113.0,949197520.5,534770290.0
2024H1,20231108,20231107,2994038617.0,327275351.5,388315565.0
2024H1,20231109,20231108,10852112552.0,725532807.5,538852860.0
2024H1,20231113,20231110,5081706437.0,215155991.0,340541949.0
2024H1,20231114,20231113,4691332304.0,204689310.0,305679822.0
2024H1,20231115,20231114,2257266226.0,102766699.5,97686805.0
2024H1,20231116,20231115,3765055083.0,235260916.5,236363630.0
2024H1,20231117,20231116,8586230286.0,275235353.0,375760956.0
2024H1,20231120,20231117,3812790666.0,233768687.5,178168686.0
2024H1,20231121,20231120,915642124.0,48619427.5,68616434.0
2024H1,20231122,20231121,4844294982.0,276292045.0,526574155.0
2024H1,20231123,20231122,5194979057.0,235140013.0,268950863.0
2024H1,20231124,20231123,2941420667.0,257625373.0,410024076.0
2024H1,20231127,20231124,3629646887.0,294725943.5,278298937.0
2024H1,20231201,20231130,3796796551.0,193679579.0,82554125.0
2024H1,20231204,20231201,2114417585.0,76197719.0,103366687.0
2024H1,20231205,20231204,1668409232.0,111843596.5,226292458.0
2024H1,20231206,20231205,10496742458.0,245280060.0,366951475.0
2024H1,20231207,20231206,6019974078.0,533561025.0,533097300.0
2024H1,20231208,20231207,3371068301.0,173831915.5,315375280.0
2024H1,20231212,20231211,8237931270.0,581753897.5,618595494.0
2024H1,20231213,20231212,1566759888.0,102622488.0,125284345.0
2024H1,20231214,20231213,4533410678.0,483330603.5,436063450.0
2024H1,20231215,20231214,6453031242.0,657946458.5,563626170.0
2024H1,20231218,20231215,4168900808.0,184707895.0,189372798.0
2024H1,20231219,20231218,4071382424.0,430996697.5,659981644.0
2024H1,20231220,20231219,2925960830.0,223506951.0,182338281.0
2024H1,20231221,20231220,4053136371.0,445076796.0,575194578.0
2024H1,20231222,20231221,3651922304.0,226787057.0,309126441.0
2024H1,20231225,20231222,5567543012.0,166973942.0,160998295.0
2024H1,20231227,20231226,4188366169.0,246032746.0,214595319.0
2024H1,20231228,20231227,3387673707.0,326907736.0,318456806.0
2024H1,20231229,20231228,13417992113.0,302535570.5,277517708.0
2024H2,20240102,20231229,2552696488.0,160647012.0,253381679.0
2024H2,20240103,20240102,1292260478.0,92243377.0,141253452.0
2024H2,20240105,20240104,3206856471.0,120372742.5,124715706.0
2024H2,20240108,20240105,7410715234.0,773775802.0,206423122.0
2024H2,20240109,20240108,3883852447.0,385618662.0,482714663.0
2024H2,20240111,20240110,3825887054.0,389805111.5,493252911.0
2024H2,20240112,20240111,1411154273.0,97891856.5,112736457.0
2024H2,20240115,20240112,2694394164.0,170812430.5,264579723.0
2024H2,20240116,20240115,5311641561.0,432748830.5,329668378.0
2024H2,20240118,20240117,4789368618.0,374086422.5,448406674.0
2024H2,20240119,20240118,6931096243.0,271681621.0,343565892.0
2024H2,20240123,20240122,3934389641.0,349884829.0,494591683.0
2024H2,20240124,20240123,3794481022.0,219195552.5,242045812.0
2024H2,20240125,20240124,1728285582.0,99596431.0,168336572.0
2024H2,20240126,20240125,1100631357.0,95907135.0,108631692.0
2024H2,20240130,20240129,5272524179.0,384623619.0,213472998.0
2024H2,20240131,20240130,3833684200.0,227038805.0,293083524.0
2024H2,20240201,20240131,4988930685.0,184302985.5,147158548.0
2024H2,20240202,20240201,3024524176.0,144801190.0,138260292.0
2024H2,20240206,20240205,14398939812.0,597651442.5,592741759.0
2024H2,20240207,20240206,4668505614.0,402312109.0,613499203.0
2024H2,20240208,20240207,3745325942.0,395309885.5,193808847.0
2024H2,20240219,20240208,2204422235.0,242930545.0,158431104.0
2024H2,20240220,20240219,8801500676.0,220858843.5,285202497.0
2024H2,20240221,20240220,2628030441.0,221982705.0,235492882.0
2024H2,20240222,20240221,5267964937.0,272290135.0,182406227.0
2024H2,20240223,20240222,1360494336.0,111637038.5,109853654.0
2024H2,20240227,20240226,1660869737.0,155630229.0,279985450.0
2024H2,20240228,20240227,2265537495.0,44616072.5,78115054.0
2024H2,20240229,20240228,1826680860.0,117355093.0,240767706.0
2024H2,20240301,20240229,4793799186.0,116682118.0,224284474.0
2024H2,20240304,20240301,5682600265.0,379532722.0,740730824.0
2024H2,20240305,20240304,2335977238.0,177888809.0,230255652.0
2024H2,20240306,20240305,665647855.0,53353713.5,102878700.0
2024H2,20240308,20240307,8856309952.0,360951452.5,84059392.0
2024H2,20240311,20240308,5408568355.0,188445488.5,97718129.0
2024H2,20240312,20240311,7570876994.0,158150262.0,128259844.0
2024H2,20240313,20240312,2582877186.0,262285395.0,253255206.0
2024H2,20240314,20240313,5201296982.0,230035335.0,237955566.0
